Date|Dog ID|Breakfast|Lunch|Snack|Dinner
05.03.2025|1|26|2|26|10
05.03.2025|9|6|6|24|2
06.03.2025|1|5|8|8|6
06.03.2025|9|25|14|25|14
06.03.2025|14|14|16|21|7
06.03.2025|10||16|21|7
07.03.2025|1|17|17||8
07.03.2025|9|12|4|20|4
07.03.2025|15|14|7|22|16
07.03.2025|13||7|22|16
08.03.2025|1||1||
08.03.2025|9|4|9||
09.03.2025|1|1|27|5|27
10.03.2025|1|27|3|1|3
10.03.2025|10|||19|9
12.03.2025|10|13|15|12|15
13.03.2025|10|23|2|13|10
14.03.2025|10|26|6|23|2
15.03.2025|10|6|||
16.03.2025|14||8|26|6
17.03.2025|14|5|17|24|8
18.03.2025|14|17|1|8|27
19.03.2025|14|1|27|5|3
20.03.2025|14|27|3|1|14
21.03.2025|1|25|14|25|16
22.03.2025|1|14|16|21|
05.04.2025|1|26|2|26|10
05.04.2025|9|6|6|24|2
06.04.2025|1|5|8|8|6
06.04.2025|9|25|14|25|14
06.04.2025|14|14|16|21|7
06.04.2025|10||16|21|7
07.04.2025|1|17|17||8
07.04.2025|9|12|4|20|4
07.04.2025|15|14|7|22|16
07.04.2025|13||7|22|16
08.04.2025|1||1||
08.04.2025|9|4|9||
09.04.2025|1|1|27|5|27
10.04.2025|1|27|3|1|3
10.04.2025|10|||19|9
12.04.2025|10|13|15|12|15
13.04.2025|10|23|2|13|10
14.04.2025|10|26|6|23|2
15.04.2025|10|6|||
16.04.2025|14||8|26|6
17.04.2025|14|5|17|24|8
18.04.2025|14|17|1|8|27
19.04.2025|14|1|27|5|3
20.04.2025|14|27|3|1|14
21.04.2025|1|25|14|25|16
22.04.2025|1|14|16|21|
05.05.2025|1|26|2|26|10
05.05.2025|9|6|6|24|2
06.05.2025|1|5|8|8|6
06.05.2025|9|25|14|25|14
06.05.2025|14|14|16|21|7
06.05.2025|10||16|21|7
07.05.2025|1|17|17||8
07.05.2025|9|12|4|20|4
07.05.2025|15|14|7|22|16
07.05.2025|13||7|22|16
08.05.2025|1||1||
08.05.2025|9|4|9||
09.05.2025|1|1|27|5|27
10.05.2025|1|27|3|1|3
10.05.2025|10|||19|9
12.05.2025|10|13|15|12|15
13.05.2025|10|23|2|13|10
14.05.2025|10|26|6|23|2
15.05.2025|10|6|||
16.05.2025|14||8|26|6
17.05.2025|14|5|17|24|8
18.05.2025|14|17|1|8|27
19.05.2025|14|1|27|5|3
20.05.2025|14|27|3|1|14
21.05.2025|1|25|14|25|16
22.05.2025|1|14|16|21|
05.06.2025|1|26|2|26|10
05.06.2025|9|6|6|24|2
06.06.2025|1|5|8|8|6
06.06.2025|9|25|14|25|14
06.06.2025|14|14|16|21|7
06.06.2025|10||16|21|7
07.06.2025|1|17|17||8
07.06.2025|9|12|4|20|4
07.06.2025|15|14|7|22|16
07.06.2025|13||7|22|16
08.06.2025|1||1||
08.06.2025|9|4|9||
09.06.2025|1|1|27|5|27
10.06.2025|1|27|3|1|3
10.06.2025|10|||19|9
12.06.2025|10|13|15|12|15
13.06.2025|10|23|2|13|10
14.06.2025|10|26|6|23|2
15.06.2025|10|6|||
16.06.2025|14||8|26|6
17.06.2025|14|5|17|24|8
18.06.2025|14|17|1|8|27
19.06.2025|14|1|27|5|3
20.06.2025|14|27|3|1|14
21.06.2025|1|25|14|25|16
22.06.2025|1|14|16|21|
